20,0,10,2.8877,1.1664,346.313
20,0,10,2.8877,1.1664,346.313
20,0,0,0,0,0
20,0,10,2.32044,0.9072,28.8894
20,0,0,0,0,0
20,0,0,100,33.696,22.6825
20,1,0,100,33.696,20.7954
20,2,0,100,33.696,20.7954
20,2,0,99.7436,33.6096,24.7976
20,0,0,97.1698,32.9146,41.6587
20,1,0,4.1769,0.13056,2.71614
40,1,0,8.66511,0.28416,3.61759
60,1,0,12.7517,0.43776,4.85949
100,1,0,0,0,0
30,3,0,6.80191,0.21888,4.29091
20,3,10,4.1769,0.13056,2.18995
40,3,10,8.66511,0.28416,5.30403
40,3,0,8.66511,0.28416,3.61759
40,3,30,8.66511,0.28416,5.30403
40,1,30,8.66511,0.28416,5.30403
40,1,10,8.66511,0.28416,5.30403
20,1,10,4.1769,0.13056,2.18995
20,2,10,4.1769,0.13056,2.18995
20,0,0,10,1,0,0,0
20,0,10,10,1,22.4946,14.5786,210.9
20,0,10,10,1,28.1707,7.81984,199.251
20,0,10,10,1,76.317,27.8636,31.2103
20,0,10,10,1,94.9317,43.3901,24.3474
20,1,10,10,1,69.7796,12.6002,68.483
20,2,10,10,1,61.3815,10.1155,123.503
20,3,10,10,1,67.0489,13.2501,100.158
20,3,0,10,1,9.90991,0.30448,106.202
20,2,0,10,1,40.0229,4.66608,104.817
20,1,0,10,1,77.6173,17.3346,62.7032
20,1,0,10,1,73.2977,23.5848,21.656
20,0,10,10,1,70.4327,26.5267,50.5717
20,0,0,10,1,98.7364,43.3153,23.5698
20,0,0,10,1,98.7364,43.3153,23.5698
20,1,0,10,1,72.4565,24.0702,20.1013
20,3,0,10,1,13.8157,2.86965,22.4328
20,2,0,10,1,26.7034,3.51301,37.815
20,0,0,99.0698,27.6048,22.1857
40,1,0,10,1,84.6493,56.4478,43.0635
20,0,0,79.6899,22.2048,10.519
40,1,0,10,1,85.56,64.6564,32.5685
40,0,0,82.6357,46.0512,85.6955
20,0,0,98.6047,27.4752,24.7373
40,0,0,97.6744,54.432,51.0977
40,1,0,9.84496,5.4864,125.238
40,2,0,3.02326,1.6848,15.0383
20,0,0,99.752,40.5432,19.6378
20,1,0,0.0354296,0.0144,428.283
20,2,0,0,0,0
20,3,0,0,0,0
20,1,0,0.0354296,0.0144,428.283
40,1,0,11.364,9.2376,17.8585
20,0,0,99.8406,40.5792,9.30592
20,1,0,46.6076,18.9432,9.15552
20,1,0,46.6076,18.9432,9.15552
20,2,0,0.903454,0.3672,27.8071
20,2,0,0.903454,0.3672,27.8071
20,3,0,7.33392,2.9808,7.95804
20,0,0,99.752,40.5432,19.6378
20,1,0,0.0354296,0.0144,428.283
20,2,0,0,0,0
20,0,0,99.8406,40.5792,9.30592
20,0,10,86.9796,35.352,26.1472
20,1,10,74.5616,30.3048,8.2339
20,2,10,60.0886,24.4224,6.0604
20,1,0,46.6076,18.9432,9.15552
20,3,10,57.5731,23.4,7.16434
20,2,0,0.903454,0.3672,27.8071
20,3,0,7.33392,2.9808,7.95804
20,2,0,0.0531444,0.0216,16.6399
20,0,0,99.876,40.5936,13.8109
20,2,0,0.0531444,0.0216,16.6399
20,1,0,29.07,11.8152,12.6287
20,2,0,0.0531444,0.0216,16.6399
20,3,0,0,0,0
20,2,0,30.9655,12.5856,9.69098
20,0,0,98.9548,40.2192,12.9377
20,0,0,99.8583,40.5864,12.4951
20,1,0,41.5943,16.9056,13.3926
20,2,0,12.0992,4.9176,5.31885
20,0,0,99.8583,40.5864,12.4951
20,2,0,30.9655,12.5856,9.69098
20,1,0,52.1523,21.1968,11.8832
20,3,0,31.5323,12.816,9.10293
20,2,0,12.0992,4.9176,5.31885
20,3,0,0.159433,0.0648,43.9169
20,3,0,0.159433,0.0648,43.9169
40,3,0,31.3818,25.5096,22.578
40,0,0,0,0,0
40,0,0,87.1318,48.5568,95.8792
40,0,0,76.4742,54.3456,59.8954
40,0,0,54.6154,15.336,256.374
30,0,0,96.9605,48.2328,38.9949
40,0,0,74.9057,42.876,87.4813
30,1,0,55.2323,27.4752,24.2676
30,2,0,60.2258,29.9592,34.3261
40,1,0,71.9149,51.1056,51.9531
40,0,0,76.9892,51.552,70.7342
40,0,0,86.0302,65.5344,85.3624
30,3,0,62.2666,30.9744,25.8377
40,1,0,65.5914,43.92,69.9667
40,1,0,62.659,46.8288,55.194
40,2,0,61.5502,43.74,59.5923
10,0,10,100,14.2128,2.67689
10,1,10,100,14.2128,2.67689
10,2,10,100,14.2128,2.67689
10,3,10,100,14.2128,2.67689
20,0,10,54.5897,19.3968,14.646
10,0,0,100,14.2128,2.68871
10,1,0,100,14.2128,2.68871
20,1,10,51.5502,18.3168,16.9762
10,2,0,100,14.2128,2.68871
10,3,0,100,14.2128,2.68871
20,0,0,67.3556,23.9328,9.21752
20,2,10,51.1246,18.1656,13.54
20,1,0,70.7599,25.1424,6.42286
10,0,0,100,15.9408,2.8271
10,1,0,99.458,15.8544,2.69956
20,3,10,50.6383,17.9928,7.88238
10,2,0,99.729,15.8976,6.56851
10,3,0,99.0515,15.7896,2.69236
20,2,0,76.8389,27.3024,13.7512
